id,firstName,gender,avenue_id,avenue_name,avenue_categories,avenue_lat,avenue_lng
6988511,Louis,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
7635414,Andrew,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
86124553,mspixi08,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
495231054,Tyler,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
92090323,Josh,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
8656413,Kate,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
32041226,Eli,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
10407371,Adela,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
7517,Brent,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
25054987,B,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
104541039,Jakub,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
13732853,Stephanie,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
40564732,Alexander,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
399163471,Warren,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
396832,Max,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
458491505,Nico,none,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
483662619,Anthony,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
197054621,Kristen,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
3485579,Sal,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
146603618,Hesham,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
476685663,Annihka,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
47527003,Srujana,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
19959862,Hanna,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
93634619,Rachel,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
5751888,Derek T.,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
220755260,Jeff,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
161085373,Elizabeth,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
29689182,Yifan,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
377391236,Janine,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
361170145,Emily,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
27126875,Tim,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
3540651,George,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
13039245,Chad,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
139290422,Sushi,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
5359589,Alex,male,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
7783627,Puno,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
101323,Nicole,female,4b894ff4f964a520ad2a32e3,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,40.72359949781962,-73.9507064655937
